lng,lat,num,street,type,city,zip,address,APN,line_1,line_2,state,postal
-122.224746732511434,37.771314902918341,730,36TH,AV,,94601,730 36TH AV OAKLAND 94601,033 218101500,,,,
-122.224802424465764,37.7712413417417,726,36TH,AV,,94601,726 36TH AV OAKLAND 94601,033 218101400,,,,
-122.225108952098608,37.770836456789951,702,36TH,AV,,94601,702 36TH AV OAKLAND 94601,033 218100900,,,,
-122.225044349754967,37.770921789493485,706,36TH,AV,,94601,706 36TH AV OAKLAND 94601,033 218101000,,,,
-122.224936084796894,37.77106479319901,714,36TH,AV,,94601,714 36TH AV OAKLAND 94601,033 218101200,,,,
-122.224985092387215,37.77100005957449,710,36TH,AV,,94601,710 36TH AV OAKLAND 94601,033 218101100,,,,
-122.224869251936383,37.771153067523016,722,36TH,AV,,94601,722 36TH AV OAKLAND 94601,033 218101300,,,,
-122.206181347552587,37.757193663153032,711,INDEPENDENT,RD,,94621,711 INDEPENDENT RD OAKLAND 94621,041 391001100,,,,
-122.205871344337936,37.757315510436278,725,INDEPENDENT,RD,,94621,725 INDEPENDENT RD OAKLAND 94621,041 391001000,,,,
-122.188760727082808,37.739919586656626,8900,EDES,AV,,94621,8900 EDES AV OAKLAND 94621,042 431300110,,,,
-122.183491374916173,37.753925399579551,1234,81ST,AV,,94621,1234 81ST AV OAKLAND 94621,042 424705701,,,,
-122.206559894918357,37.768806135414913,5206,14TH,ST,,94601,5206 E 14TH ST OAKLAND 94601,035 236402001,,,,
-122.206559894918357,37.768806135414913,5206,INTERNATIONAL,BL,,94601,5206 INTERNATIONAL BL OAKLAND 94601,035 236402001,,,,
-122.206678059310832,37.768820958207364,5200,14TH,ST,,94601,5200 E 14TH ST OAKLAND 94601,035 236402101,,,,
-122.206678059310832,37.768820958207364,5200,INTERNATIONAL,BL,,94601,5200 INTERNATIONAL BL OAKLAND 94601,035 236402101,,,,
-122.198168756103911,37.765083221816482,6006,INTERNATIONAL,BL,,94621,6006 INTERNATIONAL BL I OAKLAND 94621,038 322000801,,,,
-122.198039175920812,37.765174184780435,1423,61ST,AV,,94621,1423 61ST AV OAKLAND 94621,038 322000700,,,,
-122.198039175920812,37.765174184780435,6006,INTERNATIONAL,BL,,94621,6006 INTERNATIONAL BL 5 OAKLAND 94621,038 322000700,,,,
-122.198168756103911,37.765083221816482,1419,61ST,AV,,94621,1419 61ST AV OAKLAND 94621,038 322000801,,,,
-122.23593391897019,37.776897726683792,823,27TH,AV,,94601,823 27TH AV OAKLAND 94601,019 008200601,,,,
-122.236067790405414,37.777124457461461,825,27TH,AV,,94601,825 27TH AV OAKLAND 94601,019 008200501,,,,
-122.222012219464062,37.763009517675989,4575,TIDEWATER,AV,,94601,4575 TIDEWATER AV OAKLAND 94601,034 230001305,,,,
-122.167050310669836,37.740648024211914,1409,104TH,AV,,94603,1409 104TH AV OAKLAND 94603,047 551800901,,,,
-122.167265802133457,37.740552981929632,10320,14TH,ST,,94603,10320 E 14TH ST OAKLAND 94603,047 551801103,,,,
-122.167265802133457,37.740552981929632,10320,INTERNATIONAL,BL,,94603,10320 INTERNATIONAL BL OAKLAND 94603,047 551801103,,,,
-122.234724303304162,37.773040538579799,418,29TH,AV,,94601,418 29TH AV OAKLAND 94601,025 067601200,,,,
-122.234771655299411,37.772982842747858,414,29TH,AV,,94601,414 29TH AV OAKLAND 94601,025 067601100,,,,
-122.185973058025112,37.757944146133624,1300,75TH,AV,,94621,1300 75TH AV OAKLAND 94621,041 419101900,,,,
-122.21049283511492,37.766988290619857,1037,51ST,AV,,94601,1037 51ST AV OAKLAND 94601,034 228000600,,,,
-122.210550919282866,37.766937420056884,1033,51ST,AV,,94601,1033 51ST AV OAKLAND 94601,034 228000700,,,,
